                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.78428,                0.62706,                0.95368,                0.48237,                0.51081,                0.47046,                0.30856,                 1.0901,                 1.3852,                 1.1971,             0.00047367,             0.00047367,             0.00047367
                     54,                0.77397,                0.63071,                0.94722,                0.63236,                0.38263,                0.44553,                 0.3202,                 1.1114,                  1.445,                 1.2035,             0.00046896,             0.00046896,             0.00046896
                     55,                0.76485,                0.62982,                0.95153,                0.62154,                0.39409,                 0.4693,                0.33704,                  1.109,                 1.4531,                 1.2083,             0.00046424,             0.00046424,             0.00046424
                     56,                0.77265,                0.62911,                 0.9428,                0.61566,                 0.4716,                0.49608,                0.33463,                 1.1144,                 1.3984,                 1.2094,             0.00045953,             0.00045953,             0.00045953
                     57,                0.75956,                0.62982,                0.95261,                0.67924,                0.44265,                0.50351,                0.33088,                 1.1079,                  1.417,                 1.1985,             0.00045482,             0.00045482,             0.00045482
                     58,                0.74463,                0.62803,                0.96171,                0.53888,                0.51047,                0.49375,                0.34535,                 1.1031,                 1.3771,                 1.1959,             0.00045011,             0.00045011,             0.00045011
                     59,                0.74598,                0.61964,                0.95083,                0.52838,                0.53516,                 0.4822,                 0.3391,                 1.0971,                 1.3955,                 1.1912,             0.00044539,             0.00044539,             0.00044539
                     60,                0.74361,                 0.6302,                 0.9493,                0.44435,                0.42045,                0.45055,                0.31327,                 1.1157,                 1.4964,                 1.1994,             0.00044068,             0.00044068,             0.00044068
                     61,                0.75439,                0.61909,                0.94391,                0.57843,                0.41534,                0.45328,                 0.3126,                 1.1316,                 1.4327,                 1.2081,             0.00043597,             0.00043597,             0.00043597
                     62,                0.74375,                0.61222,                0.94147,                0.51624,                0.50036,                0.47399,                0.32799,                 1.0941,                 1.2902,                 1.1911,             0.00043126,             0.00043126,             0.00043126
                     63,                0.75636,                0.59339,                0.94918,                0.59203,                0.44945,                0.48647,                0.34001,                 1.0965,                 1.2955,                  1.197,             0.00042654,             0.00042654,             0.00042654
                     64,                0.71195,                0.58871,                0.93932,                0.71015,                0.38755,                0.45329,                0.32913,                 1.1016,                 1.3974,                 1.2032,             0.00042183,             0.00042183,             0.00042183
                     65,                0.70302,                 0.5781,                 0.9279,                0.65626,                0.41009,                0.46322,                0.32702,                 1.1071,                 1.4279,                 1.1999,             0.00041712,             0.00041712,             0.00041712
                     66,                 0.7071,                0.57703,                0.93023,                0.56157,                0.48479,                0.46327,                0.32653,                 1.0995,                 1.3845,                 1.2017,             0.00041241,             0.00041241,             0.00041241
                     67,                0.74806,                0.61018,                0.95274,                0.61317,                0.41246,                0.43208,                0.31305,                 1.1011,                 1.4071,                 1.1922,             0.00040769,             0.00040769,             0.00040769
                     68,                 0.7382,                0.59475,                0.94366,                0.61969,                 0.3994,                0.45329,                0.31285,                 1.0885,                 1.4299,                 1.1874,             0.00040298,             0.00040298,             0.00040298
