                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.74321,                0.64844,                0.99481,                0.61316,                 0.5204,                0.56788,                0.41329,                0.97562,                 1.2567,                 1.1936,             0.00055496,             0.00055496,             0.00055496
                     48,                 0.7298,                0.63411,                 0.9867,                0.60135,                0.54022,                0.56489,                 0.4128,                0.96146,                 1.2486,                 1.1832,             0.00055142,             0.00055142,             0.00055142
                     49,                0.74556,                0.64094,                0.99217,                0.62168,                0.53287,                0.56314,                0.41337,                0.97253,                 1.1937,                 1.2022,             0.00054789,             0.00054789,             0.00054789
                     50,                0.74276,                0.64884,                0.99306,                0.63429,                0.54199,                0.57768,                0.41742,                0.96545,                 1.1765,                 1.1917,             0.00054435,             0.00054435,             0.00054435
                     51,                0.73278,                0.62847,                0.98663,                0.58938,                0.53716,                0.57163,                0.41633,                0.96068,                 1.1651,                 1.1816,             0.00054082,             0.00054082,             0.00054082
                     52,                0.74192,                0.63143,                0.98383,                0.62795,                0.52358,                0.56269,                0.40774,                0.96507,                 1.1571,                 1.1847,             0.00053728,             0.00053728,             0.00053728
                     53,                0.73721,                0.62692,                0.98783,                0.66028,                0.52517,                0.57014,                0.41721,                 0.9459,                 1.1961,                 1.1704,             0.00053375,             0.00053375,             0.00053375
                     54,                0.72211,                 0.6129,                 0.9781,                0.59638,                0.56605,                0.58447,                0.42549,                0.94602,                 1.1618,                 1.1678,             0.00053022,             0.00053022,             0.00053022
                     55,                0.70645,                0.61051,                0.98373,                0.62919,                0.53508,                0.57212,                0.42022,                0.96213,                 1.1739,                 1.1897,             0.00052668,             0.00052668,             0.00052668
                     56,                0.72092,                0.60714,                0.98479,                0.60746,                0.54412,                0.56907,                0.41362,                0.97474,                 1.1969,                 1.2021,             0.00052315,             0.00052315,             0.00052315
                     57,                0.71677,                0.61865,                0.98561,                0.63818,                0.53405,                0.57215,                 0.4172,                0.97569,                 1.2279,                 1.2045,             0.00051961,             0.00051961,             0.00051961
