                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.65872,                0.53412,                0.93755,                0.60517,                0.45258,                0.49167,                0.33253,                 1.0574,                 1.3383,                 1.2427,             0.00042183,             0.00042183,             0.00042183
                     65,                0.63524,                0.51616,                0.93441,                 0.4959,                0.49042,                0.47959,                 0.3361,                 1.0576,                 1.3095,                 1.2346,             0.00041712,             0.00041712,             0.00041712
                     66,                0.66596,                0.55948,                0.95986,                0.61804,                0.43669,                0.44594,                0.32514,                 1.0744,                 1.4374,                 1.2434,             0.00041241,             0.00041241,             0.00041241
                     67,                0.66435,                0.54756,                 0.9472,                0.55268,                0.53978,                0.50258,                0.35989,                 1.0464,                 1.3981,                 1.2219,             0.00040769,             0.00040769,             0.00040769
                     68,                0.64473,                0.52234,                0.94499,                0.46174,                 0.5178,                0.50273,                0.36035,                 1.0203,                    1.3,                 1.2055,             0.00040298,             0.00040298,             0.00040298
                     69,                0.65312,                0.53078,                0.93994,                0.46726,                0.53491,                0.49477,                 0.3537,                 1.0327,                 1.2829,                 1.2139,             0.00039827,             0.00039827,             0.00039827
                     70,                0.65417,                0.50982,                0.93662,                0.67915,                0.42013,                0.47326,                0.34293,                 1.0472,                 1.3742,                 1.2186,             0.00039356,             0.00039356,             0.00039356
                     71,                0.62439,                0.49602,                0.91607,                0.45719,                0.49296,                0.48625,                0.33778,                 1.0565,                 1.3919,                 1.2215,             0.00038884,             0.00038884,             0.00038884
                     72,                0.64855,                0.49611,                0.92158,                0.53087,                0.47697,                0.50002,                 0.3506,                 1.0437,                  1.336,                  1.229,             0.00038413,             0.00038413,             0.00038413
                     73,                0.64543,                0.48181,                0.92415,                0.65025,                0.43658,                0.51604,                0.35749,                 1.0413,                 1.3532,                 1.2287,             0.00037942,             0.00037942,             0.00037942
                     74,                0.61462,                0.47836,                0.91048,                0.64547,                0.50541,                0.51762,                0.36808,                 1.0635,                 1.4319,                 1.2424,             0.00037471,             0.00037471,             0.00037471
                     75,                0.63185,                0.49631,                0.92688,                0.66642,                0.48865,                0.52149,                0.37018,                 1.0459,                 1.3636,                 1.2261,             0.00036999,             0.00036999,             0.00036999
                     76,                0.63067,                0.50233,                0.92728,                0.52909,                0.52738,                0.49691,                0.36129,                 1.0468,                 1.3413,                 1.2308,             0.00036528,             0.00036528,             0.00036528
                     77,                0.63995,                0.47791,                0.91599,                0.57702,                0.44791,                0.49071,                0.35684,                 1.0398,                 1.3667,                 1.2216,             0.00036057,             0.00036057,             0.00036057
                     78,                0.62821,                 0.4947,                0.91646,                0.47507,                 0.5224,                0.49552,                0.34492,                 1.0298,                 1.3504,                 1.2168,             0.00035586,             0.00035586,             0.00035586
                     79,                 0.6083,                0.47811,                0.90607,                0.43657,                0.54581,                0.48116,                0.34318,                 1.0234,                 1.2845,                 1.2133,             0.00035115,             0.00035115,             0.00035115
                     80,                0.62595,                0.46834,                0.91332,                0.76072,                0.37947,                0.47272,                0.34407,                 1.0251,                 1.2894,                 1.2243,             0.00034643,             0.00034643,             0.00034643
                     81,                0.62872,                0.49547,                 0.9257,                0.74514,                0.39591,                0.48985,                0.35241,                 1.0335,                 1.2871,                 1.2295,             0.00034172,             0.00034172,             0.00034172
                     82,                0.62372,                 0.4518,                 0.9058,                0.43671,                0.48478,                0.49499,                0.35558,                 1.0437,                 1.4048,                 1.2318,             0.00033701,             0.00033701,             0.00033701
                     83,                0.61318,                 0.4617,                 0.9123,                0.55063,                0.48346,                0.51121,                 0.3593,                 1.0368,                 1.4462,                 1.2203,              0.0003323,              0.0003323,              0.0003323
                     84,                0.62971,                0.46533,                0.92776,                0.65459,                 0.4448,                0.49927,                0.35742,                 1.0283,                  1.394,                 1.2118,             0.00032758,             0.00032758,             0.00032758
                     85,                0.60027,                0.45382,                0.91995,                 0.6406,                0.44129,                0.49742,                 0.3616,                 1.0097,                 1.3984,                  1.206,             0.00032287,             0.00032287,             0.00032287
                     86,                0.59099,                0.44645,                0.91557,                0.53348,                0.46686,                0.50277,                0.37021,                  1.012,                 1.4043,                 1.2097,             0.00031816,             0.00031816,             0.00031816
                     87,                0.59836,                 0.4491,                0.90447,                0.47961,                 0.5261,                0.51924,                0.37084,                 1.0127,                 1.3558,                 1.2181,             0.00031345,             0.00031345,             0.00031345
                     88,                0.58736,                0.44915,                0.91788,                0.51475,                 0.5508,                0.52224,                0.36079,                 1.0297,                  1.354,                 1.2329,             0.00030873,             0.00030873,             0.00030873
                     89,                0.61141,                0.44396,                0.89839,                0.60342,                0.46902,                0.51525,                0.36548,                 1.0323,                 1.3888,                 1.2345,             0.00030402,             0.00030402,             0.00030402
                     90,                0.59676,                0.45295,                0.90737,                 0.5941,                0.49381,                0.53283,                0.37172,                 1.0029,                 1.3104,                 1.2025,             0.00029931,             0.00029931,             0.00029931
                     91,                0.59662,                0.44935,                0.90839,                0.54621,                 0.5449,                0.52203,                  0.372,                 1.0041,                 1.3041,                 1.2082,              0.0002946,              0.0002946,              0.0002946
                     92,                0.56038,                0.43473,                 0.9061,                0.55038,                0.51558,                0.51374,                0.36397,                 1.0114,                 1.3496,                 1.2205,             0.00028988,             0.00028988,             0.00028988
                     93,                0.54312,                0.42187,                0.90194,                0.57349,                0.54604,                0.53107,                0.37267,                 1.0051,                 1.3434,                  1.212,             0.00028517,             0.00028517,             0.00028517
                     94,                0.57171,                0.42687,                0.89743,                0.52952,                0.50476,                0.50441,                0.37397,                 1.0049,                 1.3537,                 1.2144,             0.00028046,             0.00028046,             0.00028046
                     95,                0.56452,                0.42097,                0.89364,                0.54452,                0.45331,                0.49609,                0.37002,                0.99898,                 1.3875,                   1.21,             0.00027575,             0.00027575,             0.00027575
                     96,                0.55662,                0.42168,                0.89816,                0.65827,                0.41494,                  0.506,                 0.3666,                 1.0011,                 1.4738,                 1.2042,             0.00027103,             0.00027103,             0.00027103
                     97,                0.56507,                0.41795,                0.89355,                0.59463,                0.44888,                0.51865,                0.37401,                 1.0182,                 1.5564,                 1.2158,             0.00026632,             0.00026632,             0.00026632
                     98,                0.58243,                0.43371,                0.91675,                0.75529,                0.43648,                0.55608,                0.39434,                 1.0173,                 1.4561,                 1.2163,             0.00026161,             0.00026161,             0.00026161
                     99,                0.55784,                0.42535,                0.90107,                0.65075,                0.51572,                0.54565,                0.38754,                 1.0096,                 1.3792,                 1.2126,              0.0002569,              0.0002569,              0.0002569
                    100,                 0.5659,                0.43162,                0.90882,                0.69642,                0.48745,                0.52978,                0.37559,                 1.0183,                 1.4127,                 1.2219,             0.00025218,             0.00025218,             0.00025218
                    101,                0.56967,                 0.4189,                0.89247,                0.72576,                0.45814,                0.52407,                0.37024,                 1.0268,                 1.5174,                 1.2243,             0.00024747,             0.00024747,             0.00024747
                    102,                0.56293,                0.41984,                0.89633,                0.75024,                0.46147,                0.53652,                0.37422,                 1.0293,                 1.5134,                 1.2266,             0.00024276,             0.00024276,             0.00024276
                    103,                0.53833,                0.40079,                0.89467,                0.75043,                0.46498,                0.53889,                0.37453,                 1.0235,                 1.4357,                 1.2201,             0.00023805,             0.00023805,             0.00023805
                    104,                 0.5693,                0.42907,                 0.9139,                0.76876,                0.46835,                0.54932,                0.39245,                0.99812,                 1.3537,                  1.201,             0.00023334,             0.00023334,             0.00023334
                    105,                0.56695,                0.41077,                0.88992,                0.76362,                0.46686,                0.56109,                 0.3991,                 1.0113,                 1.3922,                 1.2168,             0.00022862,             0.00022862,             0.00022862
                    106,                0.55189,                0.40315,                0.89933,                0.72297,                0.48084,                0.56439,                0.39451,                 1.0178,                 1.4328,                 1.2197,             0.00022391,             0.00022391,             0.00022391
                    107,                0.52841,                0.38949,                0.88282,                0.73847,                0.48577,                0.56443,                0.39468,                 1.0146,                 1.3665,                 1.2149,              0.0002192,              0.0002192,              0.0002192
                    108,                0.56495,                0.40568,                0.88775,                0.72854,                0.51933,                0.56033,                0.39275,                 1.0023,                 1.3078,                 1.2077,             0.00021449,             0.00021449,             0.00021449
                    109,                0.54383,                0.39756,                0.88701,                0.73383,                0.50541,                0.55375,                0.39277,                 1.0047,                 1.2865,                 1.2086,             0.00020977,             0.00020977,             0.00020977
                    110,                0.53536,                0.40091,                 0.8903,                 0.6742,                0.49856,                0.54924,                0.38662,                  1.019,                 1.3096,                 1.2243,             0.00020506,             0.00020506,             0.00020506
                    111,                 0.5319,                0.38342,                0.87367,                0.74297,                0.47123,                0.55191,                 0.3897,                 1.0275,                 1.3306,                 1.2348,             0.00020035,             0.00020035,             0.00020035
                    112,                0.55139,                0.40972,                0.89653,                0.67369,                0.47515,                0.52406,                0.38569,                   1.03,                 1.3545,                 1.2371,             0.00019564,             0.00019564,             0.00019564
