                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.9504,                0.99258,                 1.0376,                0.62539,                0.43813,                0.47722,                0.32169,                 1.1482,                 1.4444,                 1.1956,              0.0005347,              0.0005347,              0.0005347
                     50,                0.95897,                0.97951,                 1.0436,                0.67539,                0.38518,                0.45752,                 0.3167,                 1.1496,                 1.4234,                 1.1837,              0.0005248,              0.0005248,              0.0005248
                     51,                0.96639,                 0.9837,                 1.0419,                0.70753,                0.36176,                0.45142,                0.31546,                 1.1514,                 1.3776,                 1.1869,              0.0005149,              0.0005149,              0.0005149
                     52,                0.95465,                0.95965,                  1.032,                0.60861,                0.41407,                0.44272,                0.31119,                 1.1485,                 1.4143,                 1.1829,               0.000505,               0.000505,               0.000505
                     53,                0.93146,                0.94312,                 1.0267,                0.60547,                 0.3912,                0.43046,                0.30335,                 1.1687,                 1.5904,                 1.2105,              0.0004951,              0.0004951,              0.0004951
                     54,                0.93827,                0.96629,                 1.0325,                0.46773,                0.37325,                0.41512,                0.29072,                 1.1868,                 1.6126,                 1.2215,              0.0004852,              0.0004852,              0.0004852
                     55,                0.91921,                0.93255,                 1.0194,                0.47596,                0.42387,                 0.4542,                0.31695,                 1.1531,                 1.4187,                 1.1898,              0.0004753,              0.0004753,              0.0004753
                     56,                0.95296,                0.92791,                 1.0265,                0.61232,                0.37613,                0.46155,                 0.3103,                 1.1552,                 1.4018,                 1.1928,              0.0004654,              0.0004654,              0.0004654
                     57,                 0.9147,                0.92028,                  1.017,                0.55963,                0.47102,                0.46983,                0.31792,                 1.1545,                 1.4874,                 1.2019,              0.0004555,              0.0004555,              0.0004555
                     58,                0.92834,                0.96524,                 1.0269,                0.43233,                0.37832,                0.41708,                 0.2967,                 1.2035,                 1.7006,                 1.2329,              0.0004456,              0.0004456,              0.0004456
                     59,                 0.9398,                0.95971,                 1.0319,                0.56663,                0.38607,                0.43405,                0.29365,                 1.1789,                  1.544,                 1.2191,              0.0004357,              0.0004357,              0.0004357
                     60,                0.91462,                0.90418,                 1.0156,                0.63757,                 0.4143,                0.43047,                0.30346,                 1.1528,                 1.3643,                 1.1937,              0.0004258,              0.0004258,              0.0004258
                     61,                0.91785,                0.92084,                 1.0197,                0.65762,                0.38236,                0.43977,                 0.3106,                 1.1339,                  1.328,                 1.1783,              0.0004159,              0.0004159,              0.0004159
                     62,                0.92537,                0.91446,                 1.0228,                0.51473,                0.54441,                0.48187,                0.32234,                 1.1403,                 1.3326,                 1.1827,               0.000406,               0.000406,               0.000406
                     63,                0.92226,                0.93195,                 1.0221,                0.51637,                0.48159,                0.46815,                0.30963,                 1.1677,                 1.4705,                 1.2015,              0.0003961,              0.0003961,              0.0003961
                     64,                0.91127,                 0.9106,                 1.0144,                0.45294,                0.45465,                0.41501,                0.29364,                 1.1822,                  1.623,                 1.2294,              0.0003862,              0.0003862,              0.0003862
                     65,                0.90077,                0.90087,                  1.011,                0.49511,                0.46583,                0.42498,                0.29782,                 1.1775,                  1.553,                  1.229,              0.0003763,              0.0003763,              0.0003763
                     66,                 0.8805,                0.88634,                 1.0085,                0.65774,                 0.4182,                0.47759,                0.32173,                 1.1332,                 1.3749,                 1.1991,              0.0003664,              0.0003664,              0.0003664
                     67,                0.90853,                0.87287,                 1.0159,                0.62912,                0.40612,                0.45028,                0.31459,                 1.1152,                 1.3431,                 1.1842,              0.0003565,              0.0003565,              0.0003565
                     68,                0.90773,                0.88722,                 1.0097,                0.46847,                0.39086,                 0.4366,                 0.3049,                 1.1164,                 1.3653,                 1.1785,              0.0003466,              0.0003466,              0.0003466
                     69,                0.89867,                0.87901,                 1.0037,                0.44595,                0.46198,                0.46432,                0.32474,                 1.1238,                 1.3859,                  1.184,              0.0003367,              0.0003367,              0.0003367
                     70,                0.91355,                0.89427,                 1.0137,                0.66644,                0.44057,                0.52122,                0.34452,                 1.1383,                 1.3806,                 1.1933,              0.0003268,              0.0003268,              0.0003268
                     71,                0.89482,                0.86303,                 1.0046,                0.57982,                0.48191,                0.52902,                0.35477,                 1.1299,                 1.3548,                 1.1931,              0.0003169,              0.0003169,              0.0003169
                     72,                0.90114,                0.89798,                 1.0213,                 0.5841,                0.50906,                0.51852,                0.35545,                  1.125,                 1.3695,                 1.1907,               0.000307,               0.000307,               0.000307
                     73,                0.86045,                 0.8463,                0.99519,                0.58332,                  0.498,                0.51596,                0.34487,                 1.1313,                 1.4012,                 1.1966,              0.0002971,              0.0002971,              0.0002971
                     74,                0.88029,                0.84312,                0.99489,                0.47191,                 0.5759,                0.51605,                 0.3462,                 1.1168,                 1.3813,                 1.1853,              0.0002872,              0.0002872,              0.0002872
                     75,                0.87655,                0.85661,                  1.009,                0.69581,                0.47917,                0.55339,                 0.3592,                 1.1062,                 1.3391,                 1.1748,              0.0002773,              0.0002773,              0.0002773
                     76,                0.85073,                0.84698,                0.99449,                0.66849,                0.41925,                0.49295,                0.35371,                 1.1089,                 1.3014,                 1.1715,              0.0002674,              0.0002674,              0.0002674
                     77,                0.86789,                 0.8531,                 1.0014,                0.56871,                0.49248,                0.50967,                 0.3605,                 1.1167,                 1.2999,                 1.1738,              0.0002575,              0.0002575,              0.0002575
                     78,                0.87838,                0.85555,                0.99475,                0.50071,                0.52267,                0.50042,                0.34544,                 1.1172,                 1.3329,                  1.174,              0.0002476,              0.0002476,              0.0002476
                     79,                0.87075,                0.84342,                0.99737,                0.44872,                0.52626,                0.48977,                0.33304,                 1.1088,                 1.3263,                 1.1706,              0.0002377,              0.0002377,              0.0002377
                     80,                0.87247,                0.82613,                0.98909,                 0.6881,                0.41726,                 0.4968,                0.34429,                   1.11,                 1.3316,                 1.1804,              0.0002278,              0.0002278,              0.0002278
                     81,                0.87505,                0.83413,                0.99143,                0.49645,                0.49076,                 0.4911,                0.34063,                 1.1076,                 1.3358,                 1.1783,              0.0002179,              0.0002179,              0.0002179
